,lat,long
0,38.8951368,-77.0721925
1,,
2,39.3642852,-74.4229351
3,48.4283182,-123.3649533
4,,
5,,
6,50.80843175,4.946429213429422
7,,
8,,
9,51.6284395,0.4218142
10,51.6958889,-0.1848935
11,50.0012314,8.2762513
12,,
13,,
14,,
15,,
16,,
17,,
18,-34.9595334,116.8280129
19,,
20,,
21,,
22,,
23,40.6639916,-74.2107006
24,41.4996574,-81.6936772
25,40.907199,-77.938042
26,41.8755616,-87.6244212
27,45.4384958,10.9924122
28,54.9738474,-1.6131572
29,,
30,,
31,40.78168135,-74.75923279813415
32,,
33,41.504546500000004,-85.82410851437608
34,40.735657,-74.1723667
35,40.735657,-74.1723667
36,40.9354609,-74.6611513311839
37,41.2951037,-92.6448451
38,41.4996574,-81.6936772
39,10.4195841,-75.5271224
40,52.1363806,-0.4675041
41,38.990412449999994,-76.9438585924238
42,40.7992398,-74.47743585359405
43,41.4108855,-83.46104
44,,
45,,
46,39.4697065,-0.3763353
47,41.8500284,-88.3125738
48,41.0812698,-105.5091717
49,51.5073219,-0.1276474
50,41.3828939,2.1774322
51,,
52,43.8122836,-91.2514355
53,,
54,41.1958128,-115.3272864
55,-37.9064862,144.7533059
56,40.734982,-73.5944933
57,41.4996574,-81.6936772
58,,
59,43.6044622,1.4442469
60,53.6542257,-0.1971576
61,48.8588897,2.3200410217200766
62,,
63,48.8588897,2.3200410217200766
64,,
65,40.0,-40.0
66,49.6647765,1.9428278
67,39.2040971,115.0379398
68,51.0791366,1.1841744
69,53.6323399,10.0233695
70,,
71,36.5297438,-6.2928976
72,39.7683331,-86.1583502
73,47.0541982,15.4262978
74,35.1952327,-6.152913
75,34.0346534,-5.0161926
76,41.9263991,8.7376029
77,41.3828939,2.1774322
78,38.040803,-121.336657
79,41.641445,-80.151449
80,,
81,,
82,44.4361414,26.1027202
83,41.4647742,-83.9524442
84,,
85,64.6863136,97.7453061
86,41.4000523,-82.8085204
87,,
88,41.1710716,-104.2552567
89,40.9658932,-78.6130822
90,,
91,10.9810761,-74.7988827
92,39.7837304,-100.445882
93,43.5445,3.12514
94,41.5824086,-85.834366
95,51.3385156,-0.115893
96,,
97,38.3436365,-0.4881708
98,50.1250142,3.6913023
99,38.3436365,-0.4881708
100,42.2632018,3.1755328
101,47.4979937,19.0403594
102,39.7478508,-81.5165127
103,48.6762624,5.8941759
104,40.6799498,-80.8880137
105,20.9127045,-17.0503094
106,,
107,41.5844951,-84.6055076
108,52.5322705,13.1433666
109,49.82921075,-2.49845361947528
110,,
111,50.9510266,4.3085198
112,53.6784483,6.9956079
113,51.245295350000006,0.9435728377218445
114,36.1021436,-115.17449463280128
115,,
116,51.5497446,8.573474968213432
117,49.82921075,-2.49845361947528
118,26.1233266,-14.5005584
119,42.3264181,-122.8718605
120,50.6440257,2.7226506
121,34.022405,-6.834543
122,-24.9071275,146.33124025447535
123,44.5204431,-116.3345874
124,50.770890449999996,10.496178825357095
125,41.5824086,-85.834366
126,36.7753606,3.0601882
127,50.79946485,8.941291794880504
128,51.27452185,0.1961165562194977
129,41.874428,-72.2598935
130,40.5651057,-74.4814613
131,35.2698375,-75.52139777222223
132,50.5590505,11.8040013
133,,
134,40.4862174,-74.4518173
135,48.584614,7.7507127
136,,
137,41.4372721,-85.1471934
138,36.8414197,-2.4628135
139,,
140,,
141,-34.7923733,-55.3837161
142,43.2297425,1.7138034
143,41.1172364,1.2546057
144,36.8414197,-2.4628135
145,41.0070132,-98.0114268
146,,
